requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,peak_vram_gb,mean_output_tokens,mean_tokens_per_sec
qwen3_8b,qwen3_8b,gsm8k,zero_shot,238,188,0.7899159663865546,0.7337620298546615,0.8368594016939223,6.664486340020134,15.256451606750488,,49.59364169654977
gemma_4_26b_a4b,gemma_4_26b_a4b,math_l1_l3,cot,238,153,0.6428571428571429,0.5801547461230793,0.7010210317414404,17.412217862184058,48.06737232208252,,22.047176578725715
gemma_4_e2b,gemma_4_e2b,math_l1_l3,cot,238,138,0.5798319327731093,0.5163419060835182,0.6407857344878312,10.963777954760594,9.543148517608644,,31.646359688094957
gemma_4_e4b,gemma_4_e4b,math_l1_l3,cot,238,159,0.6680672268907563,0.6059868196908431,0.7248082130909446,10.832593188895022,14.89453125,,25.93499290010131
phi_4_mini_reasoning,phi_4_mini_reasoning,math_l1_l3,cot,238,53,0.22268907563025211,0.17447245053236327,0.2797157453776869,16.378354528324067,7.145148277282715,,62.52266629021862
phi_4_reasoning,phi_4_reasoning,math_l1_l3,cot,238,3,0.012605042016806723,0.004295864517803973,0.036398540415011546,19.31796498562233,27.305460929870605,,52.65755329622634
qwen3_30b_a3b,qwen3_30b_a3b,math_l1_l3,cot,238,137,0.5756302521008403,0.5121249678712904,0.636732796880514,26.157213386289087,57.62053298950195,,25.95496910776366
qwen3_8b,qwen3_8b,math_l1_l3,cot,238,66,0.2773109243697479,0.22431534045081344,0.3373812411133177,13.506101799862725,15.256451606750488,,49.80775712466249
gemma_4_26b_a4b,gemma_4_26b_a4b,math_l1_l3,few_shot_cot,238,136,0.5714285714285714,0.5079125613149227,0.6326753276173371,23.52844835767726,48.06737232208252,,21.97536618058652
gemma_4_e2b,gemma_4_e2b,math_l1_l3,few_shot_cot,238,164,0.6890756302521008,0.6276569632254247,0.7444874486540864,8.969138633960686,9.543148517608644,,31.86199603846623
gemma_4_e4b,gemma_4_e4b,math_l1_l3,few_shot_cot,238,165,0.6932773109243697,0.6320072584707848,0.7484070292282712,8.277709096435364,14.89453125,,26.349881225818415
