dataset,strategy,requested_model_a,requested_model_b,n_overlap,acc_a,acc_b,n01_a0_b1,n10_a1_b0,mcnemar_stat,p_value
gsm8k,few_shot_cot,phi_4_mini_reasoning,phi_4_reasoning,500,0.316,0.018,8,157,132.75151515151515,5.164136475574589e-37
gsm8k,few_shot_cot,phi_4_mini_reasoning,qwen3_30b_a3b,500,0.316,0.762,236,13,197.9277108433735,3.8625689147891824e-54
gsm8k,few_shot_cot,phi_4_mini_reasoning,qwen3_8b,500,0.316,0.812,258,10,227.6455223880597,1.9489687077905413e-63
gsm8k,few_shot_cot,phi_4_reasoning,qwen3_30b_a3b,500,0.018,0.762,376,4,362.21315789473687,7.019341313268165e-106
gsm8k,few_shot_cot,phi_4_reasoning,qwen3_8b,500,0.018,0.812,398,1,393.02255639097746,6.196147063758909e-118
gsm8k,few_shot_cot,qwen3_30b_a3b,qwen3_8b,500,0.762,0.812,51,26,7.48051948051948,0.005870707889737202
gsm8k,zero_shot,gemma_4_26b_a4b,gemma_4_e2b,500,0.78,0.674,28,81,24.807339449541285,3.778053497089469e-07
gsm8k,zero_shot,gemma_4_26b_a4b,gemma_4_e4b,500,0.78,0.772,46,50,0.09375,0.7596492883236297
gsm8k,zero_shot,gemma_4_26b_a4b,phi_4_mini_reasoning,500,0.78,0.15,15,330,285.7855072463768,1.9163441769911772e-78
gsm8k,zero_shot,gemma_4_26b_a4b,phi_4_reasoning,500,0.78,0.032,3,377,366.12894736842105,7.427561696764065e-108
gsm8k,zero_shot,gemma_4_26b_a4b,qwen3_30b_a3b,500,0.78,0.752,56,70,1.3412698412698412,0.24670624718941767
gsm8k,zero_shot,gemma_4_26b_a4b,qwen3_8b,500,0.78,0.77,61,66,0.12598425196850394,0.7227870831457865
gsm8k,zero_shot,gemma_4_e2b,gemma_4_e4b,500,0.674,0.772,72,23,24.25263157894737,4.757482385242055e-07
gsm8k,zero_shot,gemma_4_e2b,phi_4_mini_reasoning,500,0.674,0.15,14,276,234.9,2.6271437255196318e-64
gsm8k,zero_shot,gemma_4_e2b,phi_4_reasoning,500,0.674,0.032,3,324,313.1498470948012,4.263181305346263e-92
gsm8k,zero_shot,gemma_4_e2b,qwen3_30b_a3b,500,0.674,0.752,91,52,10.097902097902098,0.0013982749350205058
gsm8k,zero_shot,gemma_4_e2b,qwen3_8b,500,0.674,0.77,93,45,16.007246376811594,5.3730760472650606e-05
gsm8k,zero_shot,gemma_4_e4b,phi_4_mini_reasoning,500,0.772,0.15,8,319,293.88379204892965,2.2313473539116272e-83
gsm8k,zero_shot,gemma_4_e4b,phi_4_reasoning,500,0.772,0.032,3,373,362.13031914893617,1.151275648602658e-106
gsm8k,zero_shot,gemma_4_e4b,qwen3_30b_a3b,500,0.772,0.752,59,69,0.6328125,0.4264394964440242
gsm8k,zero_shot,gemma_4_e4b,qwen3_8b,500,0.772,0.77,58,59,0.0,1.0
gsm8k,zero_shot,phi_4_mini_reasoning,phi_4_reasoning,500,0.15,0.032,10,69,42.58227848101266,5.544696639021875e-12
gsm8k,zero_shot,phi_4_mini_reasoning,qwen3_30b_a3b,500,0.15,0.752,311,10,280.3738317757009,1.343679413686042e-78
gsm8k,zero_shot,phi_4_mini_reasoning,qwen3_8b,500,0.15,0.77,312,2,304.0796178343949,2.963673418210014e-90
gsm8k,zero_shot,phi_4_reasoning,qwen3_30b_a3b,500,0.032,0.752,360,0,358.0027777777778,8.515919680016301e-109
gsm8k,zero_shot,phi_4_reasoning,qwen3_8b,500,0.032,0.77,370,1,365.02425876010784,1.546836973127961e-109
gsm8k,zero_shot,qwen3_30b_a3b,qwen3_8b,500,0.752,0.77,38,29,0.9552238805970149,0.3284320626971899
math_l1_l3,cot,gemma_4_26b_a4b,gemma_4_e2b,238,0.6428571428571429,0.5798319327731093,19,34,3.69811320754717,0.053438810537711046
math_l1_l3,cot,gemma_4_26b_a4b,gemma_4_e4b,238,0.6428571428571429,0.6680672268907563,24,18,0.5952380952380952,0.44079906734259566
math_l1_l3,cot,gemma_4_26b_a4b,phi_4_mini_reasoning,238,0.6428571428571429,0.22268907563025211,14,114,76.5703125,1.1620685422884812e-20
math_l1_l3,cot,gemma_4_26b_a4b,qwen3_30b_a3b,238,0.6428571428571429,0.5672268907563025,21,39,4.816666666666666,0.027340133868077935
math_l1_l3,cot,gemma_4_26b_a4b,qwen3_8b,238,0.6428571428571429,0.24789915966386555,13,107,72.075,1.4958728419663173e-19
math_l1_l3,cot,gemma_4_e2b,gemma_4_e4b,238,0.5798319327731093,0.6680672268907563,32,11,9.30232558139535,0.001913961001264397
math_l1_l3,cot,gemma_4_e2b,phi_4_mini_reasoning,238,0.5798319327731093,0.22268907563025211,18,103,58.31404958677686,1.1583151673693545e-15
math_l1_l3,cot,gemma_4_e2b,qwen3_30b_a3b,238,0.5798319327731093,0.5672268907563025,27,30,0.07017543859649122,0.7913664277791806
math_l1_l3,cot,gemma_4_e2b,qwen3_8b,238,0.5798319327731093,0.24789915966386555,8,87,64.0421052631579,6.741612423029947e-18
math_l1_l3,cot,gemma_4_e4b,phi_4_mini_reasoning,238,0.6680672268907563,0.22268907563025211,9,115,88.91129032258064,1.4454106072298374e-24
math_l1_l3,cot,gemma_4_e4b,qwen3_30b_a3b,238,0.6680672268907563,0.5672268907563025,9,33,12.595238095238095,0.00027153923429068527
math_l1_l3,cot,gemma_4_e4b,qwen3_8b,238,0.6680672268907563,0.24789915966386555,5,105,89.1,1.9781092876300357e-25
math_l1_l3,cot,phi_4_mini_reasoning,qwen3_30b_a3b,238,0.22268907563025211,0.5672268907563025,90,8,66.94897959183673,1.0875246615051457e-18
math_l1_l3,cot,phi_4_mini_reasoning,qwen3_8b,238,0.22268907563025211,0.24789915966386555,37,31,0.36764705882352944,0.5446122234192591
math_l1_l3,cot,qwen3_30b_a3b,qwen3_8b,238,0.5672268907563025,0.24789915966386555,5,81,65.40697674418605,9.578735725233634e-19
math_l1_l3,few_shot_cot,gemma_4_26b_a4b,gemma_4_e2b,238,0.5714285714285714,0.6890756302521008,39,11,14.58,9.021490107130603e-05
math_l1_l3,few_shot_cot,gemma_4_26b_a4b,gemma_4_e4b,238,0.5714285714285714,0.6932773109243697,38,9,16.680851063829788,2.4904030624384177e-05
math_l1_l3,few_shot_cot,gemma_4_26b_a4b,phi_4_mini_reasoning,238,0.5714285714285714,0.3907563025210084,23,66,19.820224719101123,5.690249181613522e-06
math_l1_l3,few_shot_cot,gemma_4_26b_a4b,qwen3_30b_a3b,238,0.5714285714285714,0.6176470588235294,33,22,1.8181818181818181,0.17700136477035816
math_l1_l3,few_shot_cot,gemma_4_26b_a4b,qwen3_8b,238,0.5714285714285714,0.6512605042016807,35,16,6.352941176470588,0.010973562899720513
math_l1_l3,few_shot_cot,gemma_4_e2b,gemma_4_e4b,238,0.6890756302521008,0.6932773109243697,11,10,0.0,1.0
math_l1_l3,few_shot_cot,gemma_4_e2b,phi_4_mini_reasoning,238,0.6890756302521008,0.3907563025210084,5,76,60.49382716049383,2.2643223890053103e-17
math_l1_l3,few_shot_cot,gemma_4_e2b,qwen3_30b_a3b,238,0.6890756302521008,0.6176470588235294,7,24,8.258064516129032,0.003326892852783203
math_l1_l3,few_shot_cot,gemma_4_e2b,qwen3_8b,238,0.6890756302521008,0.6512605042016807,8,17,2.56,0.10775214433670044
math_l1_l3,few_shot_cot,gemma_4_e4b,phi_4_mini_reasoning,238,0.6932773109243697,0.3907563025210084,4,76,63.0125,2.7577887293885173e-18
math_l1_l3,few_shot_cot,gemma_4_e4b,qwen3_30b_a3b,238,0.6932773109243697,0.6176470588235294,8,26,8.5,0.0029350556433200836
math_l1_l3,few_shot_cot,gemma_4_e4b,qwen3_8b,238,0.6932773109243697,0.6512605042016807,7,17,3.375,0.06391465663909912
math_l1_l3,few_shot_cot,phi_4_mini_reasoning,qwen3_30b_a3b,238,0.3907563025210084,0.6176470588235294,61,7,41.30882352941177,7.387402755493211e-12
math_l1_l3,few_shot_cot,phi_4_mini_reasoning,qwen3_8b,238,0.3907563025210084,0.6512605042016807,65,3,54.720588235294116,3.5550311609441887e-16
math_l1_l3,few_shot_cot,qwen3_30b_a3b,qwen3_8b,238,0.6176470588235294,0.6512605042016807,13,5,2.7222222222222223,0.09625244140625
math_l1_l3,zero_shot,gemma_4_26b_a4b,gemma_4_e2b,238,0.6932773109243697,0.6176470588235294,13,31,6.568181818181818,0.009559878856634896
math_l1_l3,zero_shot,gemma_4_26b_a4b,gemma_4_e4b,238,0.6932773109243697,0.6302521008403361,12,27,5.0256410256410255,0.023702702470473014
math_l1_l3,zero_shot,gemma_4_26b_a4b,phi_4_mini_reasoning,238,0.6932773109243697,0.25210084033613445,3,108,97.44144144144144,1.7566946283140407e-28
math_l1_l3,zero_shot,gemma_4_26b_a4b,qwen3_30b_a3b,238,0.6932773109243697,0.6008403361344538,11,33,10.022727272727273,0.0012600338162656044
math_l1_l3,zero_shot,gemma_4_26b_a4b,qwen3_8b,238,0.6932773109243697,0.20588235294117646,4,120,106.65322580645162,9.121014256730856e-31
math_l1_l3,zero_shot,gemma_4_e2b,gemma_4_e4b,238,0.6176470588235294,0.6302521008403361,22,19,0.0975609756097561,0.755228657504631
math_l1_l3,zero_shot,gemma_4_e2b,phi_4_mini_reasoning,238,0.6176470588235294,0.25210084033613445,12,99,66.63063063063063,3.4466261850741703e-18
math_l1_l3,zero_shot,gemma_4_e2b,qwen3_30b_a3b,238,0.6176470588235294,0.6008403361344538,23,27,0.18,0.6718110337653656
math_l1_l3,zero_shot,gemma_4_e2b,qwen3_8b,238,0.6176470588235294,0.20588235294117646,4,102,88.76415094339623,1.2735868422334435e-25
math_l1_l3,zero_shot,gemma_4_e4b,phi_4_mini_reasoning,238,0.6302521008403361,0.25210084033613445,9,99,73.3425925925926,2.6459721785029073e-20
math_l1_l3,zero_shot,gemma_4_e4b,qwen3_30b_a3b,238,0.6302521008403361,0.6008403361344538,20,27,0.7659574468085106,0.38169339766321286
math_l1_l3,zero_shot,gemma_4_e4b,qwen3_8b,238,0.6302521008403361,0.20588235294117646,7,108,86.95652173913044,2.2527678876397474e-24
math_l1_l3,zero_shot,phi_4_mini_reasoning,qwen3_30b_a3b,238,0.25210084033613445,0.6008403361344538,88,5,72.3010752688172,1.1112241759254372e-20
math_l1_l3,zero_shot,phi_4_mini_reasoning,qwen3_8b,238,0.25210084033613445,0.20588235294117646,27,38,1.5384615384615385,0.21453919400817845
math_l1_l3,zero_shot,qwen3_30b_a3b,qwen3_8b,238,0.6008403361344538,0.20588235294117646,4,98,84.79411764705883,1.74595783696353e-24
truthfulqa_mc1,cot,gemma_4_26b_a4b,gemma_4_e2b,500,0.75,0.562,42,136,48.58988764044944,9.077867422545684e-13
truthfulqa_mc1,cot,gemma_4_26b_a4b,gemma_4_e4b,500,0.75,0.628,45,106,23.841059602649008,7.494000144757461e-07
truthfulqa_mc1,cot,gemma_4_26b_a4b,phi_4_mini_reasoning,500,0.75,0.984,123,6,104.31007751937985,1.7558298186482834e-29
truthfulqa_mc1,cot,gemma_4_26b_a4b,qwen3_30b_a3b,500,0.75,0.984,123,6,104.31007751937985,1.7558298186482834e-29
